epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.051532451063394547,0.002657837001606822
0,26,0.0508144274353981,,,
1,49,,0.0007411176920868456,,
1,53,,,0.006903789006173611,5.625751145998947e-05
1,53,0.02192649058997631,,,
2,80,,,0.006720034405589104,4.658433317672461e-05
2,80,0.017285943031311035,,,
3,99,,7.767463830532506e-05,,
3,107,,,0.0054436782374978065,3.2898773497436196e-05
3,107,0.008904026821255684,,,
4,134,,,0.004445705562829971,2.2842947146273218e-05
4,134,0.005431147292256355,,,
5,149,,0.00010716778342612088,,
5,161,,,0.0013602281687781215,3.0848207188682863e-06
5,161,0.006926827598363161,,,
6,188,,,0.004803749732673168,2.6285733838449232e-05
6,188,0.005204078741371632,,,
7,199,,2.158569077437278e-05,,
7,215,,,0.0035175306256860495,1.4044051567907445e-05
7,215,0.006294419057667255,,,
8,242,,,0.0014392569428309798,3.3019655347743537e-06
8,242,0.0075384327210485935,,,
9,249,,5.041780968895182e-05,,
9,269,,,0.0027374220080673695,9.174243132292759e-06
9,269,0.006164265796542168,,,
10,296,,,0.007472677621990442,6.0357160691637546e-05
10,296,0.005319323390722275,,,
11,299,,5.3931660659145564e-05,,
11,323,,,0.0015382962301373482,3.97429857912357e-06
11,323,0.005366618745028973,,,
12,349,,0.0001268140331376344,,
12,350,,,0.0072051300667226315,5.548935223487206e-05
12,350,0.004694377537816763,,,
13,377,,,0.0027538244612514973,9.874758688965812e-06
13,377,0.004736929200589657,,,
14,399,,4.103858373127878e-05,,
14,404,,,0.001753609161823988,5.182237600820372e-06
14,404,0.005290456116199493,,,
15,431,,,0.006928657181560993,5.125195821165107e-05
15,431,0.006086834706366062,,,
