areaType,areaName,areaCode,date,covidOccupiedMVBedsWeekly
nation,England,E92000001,2021-11-26,796
nation,England,E92000001,2021-11-19,769
nation,England,E92000001,2021-11-12,838
nation,England,E92000001,2021-11-05,860
nation,England,E92000001,2021-10-29,809
nation,England,E92000001,2021-10-22,746
nation,England,E92000001,2021-10-15,673
nation,England,E92000001,2021-10-08,647
nation,England,E92000001,2021-10-01,671
nation,England,E92000001,2021-09-24,730
nation,England,E92000001,2021-09-17,844
nation,England,E92000001,2021-09-10,898
nation,England,E92000001,2021-09-03,889
nation,England,E92000001,2021-08-27,874
nation,England,E92000001,2021-08-20,857
nation,England,E92000001,2021-08-13,793
nation,England,E92000001,2021-08-06,765
nation,England,E92000001,2021-07-30,785
nation,England,E92000001,2021-07-23,625
nation,England,E92000001,2021-07-16,512
nation,England,E92000001,2021-07-09,393
nation,England,E92000001,2021-07-02,297
nation,England,E92000001,2021-06-25,238
nation,England,E92000001,2021-06-18,210
nation,England,E92000001,2021-06-11,146
nation,England,E92000001,2021-06-04,119
nation,England,E92000001,2021-05-28,116
nation,England,E92000001,2021-05-21,117
nation,England,E92000001,2021-05-14,115
nation,England,E92000001,2021-05-07,145
nation,England,E92000001,2021-04-30,170
nation,England,E92000001,2021-04-23,221
nation,England,E92000001,2021-04-16,298
nation,England,E92000001,2021-04-09,362
nation,England,E92000001,2021-04-02,436
nation,England,E92000001,2021-03-26,559
nation,England,E92000001,2021-03-19,749
nation,England,E92000001,2021-03-12,1023
nation,England,E92000001,2021-03-05,1417
nation,England,E92000001,2021-02-26,1808
nation,England,E92000001,2021-02-19,2251
nation,England,E92000001,2021-02-12,2688
nation,England,E92000001,2021-02-05,3217
nation,England,E92000001,2021-01-29,3506
nation,England,E92000001,2021-01-22,3727
nation,England,E92000001,2021-01-15,3464
nation,England,E92000001,2021-01-08,2814
nation,England,E92000001,2021-01-01,1940
nation,England,E92000001,2020-12-25,1437
nation,England,E92000001,2020-12-18,1190
nation,England,E92000001,2020-12-11,1117
nation,England,E92000001,2020-12-04,1113
nation,England,E92000001,2020-11-27,1242
nation,England,E92000001,2020-11-20,1241
nation,England,E92000001,2020-11-13,1158
nation,England,E92000001,2020-11-06,984
nation,England,E92000001,2020-10-30,801
nation,England,E92000001,2020-10-23,602
nation,England,E92000001,2020-10-16,482
nation,England,E92000001,2020-10-09,367
nation,England,E92000001,2020-10-02,311
nation,England,E92000001,2020-09-25,227
nation,England,E92000001,2020-09-18,115
nation,England,E92000001,2020-09-11,129
nation,England,E92000001,2020-09-04,54
nation,England,E92000001,2020-08-28,52
nation,England,E92000001,2020-08-21,64
nation,England,E92000001,2020-08-14,63
nation,England,E92000001,2020-08-07,57
nation,England,E92000001,2020-07-31,71
nation,England,E92000001,2020-07-24,92
nation,England,E92000001,2020-07-17,122
nation,England,E92000001,2020-07-10,162
nation,England,E92000001,2020-07-03,202
nation,England,E92000001,2020-06-26,226
nation,England,E92000001,2020-06-19,283
nation,England,E92000001,2020-06-12,336
nation,England,E92000001,2020-06-05,481
nation,England,E92000001,2020-05-29,630
nation,England,E92000001,2020-05-22,852
nation,England,E92000001,2020-05-15,1200
nation,England,E92000001,2020-05-08,1446
nation,England,E92000001,2020-05-01,1954
nation,England,E92000001,2020-04-24,2414
nation,England,E92000001,2020-04-17,2780
nation,England,E92000001,2020-04-10,2820
nation,England,E92000001,2020-04-03,1788
