epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.7483123540878296,0.5599713325500488
0,26,2.9562289714813232,,,
1,49,,0.0300738625228405,,
1,53,,,0.27684342861175537,0.07664228975772858
1,53,0.7110968828201294,,,
2,80,,,0.010812279768288136,0.00011690993414958939
2,80,0.16919748485088348,,,
3,99,,2.369114190514665e-05,,
3,107,,,0.031245684251189232,0.0009762971312738955
3,107,0.04250204190611839,,,
4,134,,,0.007247295696288347,5.2527837397065014e-05
4,134,0.011290480382740498,,,
5,149,,8.279490089080355e-07,,
5,161,,,0.001806679298169911,3.268628915975569e-06
5,161,0.0028242606204003096,,,
6,188,,,6.249834405025467e-05,5.124800583899969e-09
6,188,0.001052279956638813,,,
7,199,,1.333064346908941e-06,,
7,215,,,0.0002869396412279457,8.687339914104086e-08
7,215,0.0007968302816152573,,,
8,242,,,0.00021508047939278185,5.079866127744026e-08
8,242,0.0008038602536544204,,,
9,249,,8.621251481599757e-07,,
9,269,,,0.00021076490520499647,4.8960885123960907e-08
9,269,0.0008054449572227895,,,
