epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.010435088537633419,0.00010889573604799807
0,26,0.06181526929140091,,,
1,49,,9.6962321549654e-07,,
1,53,,,0.005921005737036467,3.5062883398495615e-05
1,53,0.008794271387159824,,,
2,80,,,0.0003615769383031875,1.3529812292745191e-07
2,80,0.0023354499135166407,,,
3,99,,1.0745465033323853e-06,,
3,107,,,0.00033645672374404967,1.1775301800298621e-07
3,107,0.0009405132732354105,,,
4,134,,,0.000406971899792552,1.7016391495872085e-07
4,134,0.0007925154059194028,,,
5,149,,1.3701011312150513e-06,,
5,161,,,5.899840107304044e-05,4.652901619550676e-09
5,161,0.0008092610514722764,,,
6,188,,,0.00016961128858383745,3.327934905428265e-08
6,188,0.0008022797992452979,,,
7,199,,1.070122607416124e-06,,
7,215,,,0.00019244613940827549,4.153103461135288e-08
7,215,0.0007699854322709143,,,
8,242,,,6.499102164525539e-05,5.5042774782521064e-09
8,242,0.0007944786921143532,,,
