epoch,step,train_MAE,train_loss,valid_MAE,valid_loss
0,26,,,0.048974499106407166,0.0024100516457110643
0,26,0.07383876293897629,,,
1,49,,0.002252754522487521,,
1,53,,,0.060356322675943375,0.0036544359754770994
1,53,0.05224408954381943,,,
2,80,,,0.07086951285600662,0.00503403740003705
2,80,0.05229487270116806,,,
3,99,,0.012438682839274406,,
3,107,,,0.0661303848028183,0.004384778439998627
3,107,0.05389983952045441,,,
4,134,,,0.04862220212817192,0.0023756681475788355
4,134,0.05287286266684532,,,
5,149,,0.004821608774363995,,
5,161,,,0.04124050214886665,0.001712328870780766
5,161,0.0534125380218029,,,
6,188,,,0.05257085710763931,0.0027752448804676533
6,188,0.05346402898430824,,,
7,199,,0.0037570088170468807,,
7,215,,,0.05160631984472275,0.0026747621595859528
7,215,0.05271776393055916,,,
8,242,,,0.06671685725450516,0.004462688695639372
8,242,0.05271347612142563,,,
9,249,,0.007450932636857033,,
9,269,,,0.05841677635908127,0.0034240693785250187
9,269,0.05243043601512909,,,
10,296,,,0.0710967555642128,0.005066299345344305
10,296,0.05307015776634216,,,
11,299,,0.00933825597167015,,
11,323,,,0.07380320876836777,0.005458462983369827
11,323,0.05339544638991356,,,
12,349,,0.0033011995255947113,,
12,350,,,0.043237801641225815,0.001881057396531105
12,350,0.05440187826752663,,,
13,377,,,0.05240993574261665,0.002758351620286703
13,377,0.05257920175790787,,,
14,399,,0.004267267882823944,,
14,404,,,0.05029859021306038,0.0025414980482310057
14,404,0.053218211978673935,,,
15,431,,,0.06484559178352356,0.004216501489281654
15,431,0.053906381130218506,,,
